Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.nick.memasik,,,tr,on7xelte,2023-07-01T07:35:29Z,1688196929931,2023-07-01T07:35:29Z,1688196929931,4,,,,,,
com.nick.memasik,265,5.8.3,es,a30s,2023-07-01T08:03:56Z,1688198636166,2023-07-01T08:03:56Z,1688198636166,5,,,,,,
com.nick.memasik,265,5.8.3,ro,HWMRD-M1,2021-03-22T15:01:38Z,1616425298974,2023-07-01T08:29:28Z,1688200168664,5,,I like tihs app i have a cheanel of memasik with 200 folowers my name în memasik îs SpeedK,2021-03-26T14:19:54Z,1616768394399,Thanks for the feedback! :),http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=d5395b42-fac2-440d-806c-91de490e67d6&corpus=PUBLIC_REVIEWS
com.nick.memasik,265,5.8.3,el,X306F,2023-07-01T08:48:44Z,1688201324057,2023-07-01T08:48:44Z,1688201324057,5,,,,,,
com.nick.memasik,265,5.8.3,pl,j5xnlte,2023-07-01T14:52:54Z,1688223174422,2023-07-01T14:52:54Z,1688223174422,5,,Super aplikacja,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=b470d9b0-df14-4941-ba2c-bdf5baa7038c&corpus=PUBLIC_REVIEWS
com.nick.memasik,265,5.8.3,pl,aruba,2023-07-01T22:41:11Z,1688251271949,2023-07-01T22:41:11Z,1688251271949,5,,Fajna aplikacja do memów,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=d86f54fe-e2d7-491c-a3bc-bf04642c1843&corpus=PUBLIC_REVIEWS
com.nick.memasik,265,5.8.3,es,a3core,2023-07-01T23:19:09Z,1688253549016,2023-07-01T23:19:09Z,1688253549016,5,,Es lo maccimo,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=f95a4762-68f9-4979-a781-c002c294db4b&corpus=PUBLIC_REVIEWS
com.nick.memasik,265,5.8.3,es,fiji,2022-12-17T06:05:42Z,1671257142800,2023-07-02T02:07:26Z,1688263646166,5,,Esta app es la carne y las patatas de mi mundo peroooo.... Desde hace unos dias que la app falla y la red se cae y vi un post que decia que era porque la aplicacion es de ucrania yo no se no hablo ucraniano pero aun asi buena aplicacion para momos XD XD XD,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=5c0d97c1-5755-4c6d-ac90-20faea3c2ef4&corpus=PUBLIC_REVIEWS
com.nick.memasik,,,ru,X30,2023-07-02T11:38:29Z,1688297909240,2023-07-02T11:38:29Z,1688297909240,1,,Ой как смешно😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=2f44baaa-1b89-43b6-aa2c-56e6aa0b7f72&corpus=PUBLIC_REVIEWS
com.nick.memasik,265,5.8.3,en,a50,2023-07-02T13:00:01Z,1688302801262,2023-07-02T13:00:01Z,1688302801262,5,,It's goos,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=7c6adfa5-0f18-49e1-8bc9-18dc28197476&corpus=PUBLIC_REVIEWS
com.nick.memasik,,,pt,j5lte,2023-07-02T16:10:00Z,1688314200584,2023-07-02T16:10:00Z,1688314200584,5,,"Recomendo, além de ser leve, é muito útil para fazer memes é editações na zueira nas fotos, recomendo",,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=355be768-af3f-459d-b224-101602017a45&corpus=PUBLIC_REVIEWS
com.nick.memasik,265,5.8.3,pt,Superb,2023-07-02T18:22:27Z,1688322147797,2023-07-02T18:22:27Z,1688322147797,5,,Top,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=22546600-53cf-424c-9078-a05574e891f2&corpus=PUBLIC_REVIEWS
com.nick.memasik,265,5.8.3,es,TB7104F,2023-07-02T20:12:34Z,1688328754358,2023-07-02T20:12:34Z,1688328754358,5,,Mi comunidad está muy grande y recuerdo que en mi antigua cuenta tuve solo 77 subs y ahora tengo 260 subs o más pero me encanta la app se la recomiendo a aquel que no la instalo Saluditos a todos los subs que vieron el comment,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=f0c65a17-c56e-4608-b765-28f338f9a9cf&corpus=PUBLIC_REVIEWS
com.nick.memasik,265,5.8.3,es,gta4l,2023-07-02T21:16:45Z,1688332605712,2023-07-02T21:16:45Z,1688332605712,5,,Tá buena lá APP,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=07162a20-03f9-4058-a5b2-e9fd596c2f31&corpus=PUBLIC_REVIEWS
com.nick.memasik,265,5.8.3,es,a10,2023-07-03T04:23:23Z,1688358203707,2023-07-03T04:23:23Z,1688358203707,5,,,,,,
